"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"233.8359375",4955,"4.72"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5",9979,"0.03"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2147.9453125",4955,"43.35"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5772.828125",15014,"38.45"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.2890625",9979,"0.14"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"202.70703125",4955,"4.09"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"23.484375",4955,"0.47"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"51.625",9979,"0.52"
"3/26/2022, 9:54:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5",9979,"0.03"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"233.87890625",4955,"4.72"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2148.671875",4955,"43.36"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"23.484375",4955,"0.47"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"51.625",9979,"0.52"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"203.20703125",4955,"4.1"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.2890625",9979,"0.14"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5772.828125",15014,"38.45"
"3/26/2022, 9:55:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 9:55:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1899.64453125",9979,"19.04"
"3/26/2022, 9:55:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"51.62890625",9979,"0.52"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"203.75390625",4955,"4.11"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"23.48828125",4955,"0.47"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2148.671875",4955,"43.36"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5773.3671875",15014,"38.45"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"233.87890625",4955,"4.72"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.29296875",9979,"0.14"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5",9979,"0.03"
"3/26/2022, 9:56:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 9:56:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 9:56:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1899.64453125",9979,"19.04"
"3/26/2022, 9:54:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 9:54:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1899.49609375",9979,"19.03"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"51.65625",9979,"0.52"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5776.25390625",15014,"38.47"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.3046875",9979,"0.14"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"234.04296875",4955,"4.72"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2151.52734375",4955,"43.42"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"23.5078125",4955,"0.47"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"205.59375",4955,"4.15"
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 10:01:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5",9979,"0.03"
"3/26/2022, 10:02:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 10:02:37.000 AM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1900.375",9979,"19.04"
"3/26/2022, 10:05:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 10:05:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5",9979,"0.03"
"3/26/2022, 10:05:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5777.6328125",15014,"38.48"
"3/26/2022, 10:05:09.000 AM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.30859375",9979,"0.14"
"3/26/2022, 10:05:09.000 AM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2152.69921875",4955,"43.44"
