"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/22/2022, 9:33:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","logs-control",logs,,"592.80859375",9979,"5.94"
"3/22/2022, 9:33:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","data-control",data,,"0.06640625",15014,0
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"705.53125",4955,"14.24"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"87.6875",4955,"1.77"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"1.0703125",9979,"0.01"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"22.5078125",9979,"0.23"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"4.8359375",9979,"0.05"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"1894.71875",15014,"12.62"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"7.515625",4955,"0.15"
"3/22/2022, 9:34:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"70.84375",4955,"1.43"
"3/22/2022, 9:34:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","logs-control",logs,,"592.99609375",9979,"5.94"
"3/22/2022, 9:34:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","data-control",data,,"0.06640625",15014,0
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"87.72265625",4955,"1.77"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"706.16796875",4955,"14.25"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"1895.44921875",15014,"12.62"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"4.83984375",9979,"0.05"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"22.5078125",9979,"0.23"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"7.515625",4955,"0.15"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"70.84375",4955,"1.43"
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/22/2022, 9:35:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"1.0703125",9979,"0.01"
"3/22/2022, 9:35:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","logs-control",logs,,"592.99609375",9979,"5.94"
"3/22/2022, 9:35:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","data-control",data,,"0.06640625",15014,0
"3/22/2022, 9:36:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","data-control",data,,"0.06640625",15014,0
"3/22/2022, 9:36:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","logs-control",logs,,"593.14453125",9979,"5.94"
"3/22/2022, 9:37:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"1896.75",15014,"12.63"
"3/22/2022, 9:37:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"4.84765625",9979,"0.05"
"3/22/2022, 9:37:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"71.640625",4955,"1.45"
"3/22/2022, 9:37:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"7.52734375",4955,"0.15"
"3/22/2022, 9:37:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"707.03125",4955,"14.27"
